Id,Location,Weekly Cases,Year,Weekly Cases per Million,Weekly Deaths,Weekly Deaths per Million,Total Vaccinations,People Vaccinated,People Fully Vaccinated,Total Boosters,Daily Vaccinations,Total Vaccinations per Hundred,People Vaccinated per Hundred,People Fully Vaccinated per Hundred,Total Boosters per Hundred,Daily Vaccinations per Hundred,Daily People Vaccinated,Daily People Vaccinated per Hundred,Next Week's Deaths
911530868,World,2372.0,2020,0.3,65.0,0.008,,,,,,,,,,,,,344.0
807936902,World,5023.0,2020,0.635,114.0,0.014,,,,,,,,,,,,,361.0
773590408,World,5612.0,2020,0.71,116.0,0.015,,,,,,,,,,,,,431.0
130466459,World,7580.0,2020,0.958,153.0,0.019,,,,,,,,,,,,,463.0
544040446,World,8983.0,2020,1.136,187.0,0.024,,,,,,,,,,,,,506.0
112222711,World,10601.0,2020,1.34,217.0,0.027,,,,,,,,,,,,,547.0
161398246,World,14667.0,2020,1.854,306.0,0.039,,,,,,,,,,,,,544.0
728679291,World,21475.0,2020,2.715,431.0,0.054,,,,,,,,,,,,,554.0
165933535,World,22569.0,2020,2.853,463.0,0.059,,,,,,,,,,,,,737.0
820124704,World,24473.0,2020,3.094,506.0,0.064,,,,,,,,,,,,,804.0
230842521,World,25093.0,2020,3.173,547.0,0.069,,,,,,,,,,,,,860.0
332551126,World,17588.0,2020,2.224,554.0,0.07,,,,,,,,,,,,,1005.0
986889261,World,29578.0,2020,3.74,737.0,0.093,,,,,,,,,,,,,877.0
202005769,World,32512.0,2020,4.111,804.0,0.102,,,,,,,,,,,,,729.0
637080757,World,31924.0,2020,4.036,860.0,0.109,,,,,,,,,,,,,793.0
455471729,World,31076.0,2020,3.929,864.0,0.109,,,,,,,,,,,,,700.0
743617805,World,30502.0,2020,3.856,855.0,0.108,,,,,,,,,,,,,762.0
435741920,World,30341.0,2020,3.836,895.0,0.113,,,,,,,,,,,,,702.0
502448663,World,15832.0,2020,2.002,877.0,0.111,,,,,,,,,,,,,566.0
133503885,World,9934.0,2020,1.256,729.0,0.092,,,,,,,,,,,,,621.0
985026759,World,9553.0,2020,1.208,793.0,0.1,,,,,,,,,,,,,484.0
653542715,World,6285.0,2020,0.795,762.0,0.096,,,,,,,,,,,,,456.0
849998229,World,5257.0,2020,0.665,702.0,0.089,,,,,,,,,,,,,450.0
351868897,World,6513.0,2020,0.823,566.0,0.072,,,,,,,,,,,,,534.0
129830339,World,7307.0,2020,0.924,621.0,0.079,,,,,,,,,,,,,588.0
950171516,World,7416.0,2020,0.938,484.0,0.061,,,,,,,,,,,,,623.0
238395687,World,10825.0,2020,1.369,456.0,0.058,,,,,,,,,,,,,911.0
547914841,World,12583.0,2020,1.591,450.0,0.057,,,,,,,,,,,,,1113.0
341191554,World,13932.0,2020,1.761,484.0,0.061,,,,,,,,,,,,,1363.0
691381605,World,17805.0,2020,2.251,588.0,0.074,,,,,,,,,,,,,1958.0
669281143,World,20065.0,2020,2.537,623.0,0.079,,,,,,,,,,,,,2277.0
229110827,World,21540.0,2020,2.723,810.0,0.102,,,,,,,,,,,,,2684.0
517097863,World,23883.0,2020,3.02,911.0,0.115,,,,,,,,,,,,,3180.0
824871283,World,26057.0,2020,3.294,1113.0,0.141,,,,,,,,,,,,,3715.0
864891005,World,35284.0,2020,4.461,1581.0,0.2,,,,,,,,,,,,,5088.0
832890274,World,58684.0,2020,7.42,2684.0,0.339,,,,,,,,,,,,,8435.0
247017165,World,79316.0,2020,10.028,3715.0,0.47,,,,,,,,,,,,,11223.0
